Acc_date,Customer,Department,Sum,Payment_date,Exec_date,Responsible,Payment_time,Exec_time,month
2024-12-20,АМС,ОЭЗиС,318276.71,2024-12-23,2024-12-20,Кузьмин,3.0,0.0,2024-12
2024-12-23,Бизнес-центр,ОЭЗиС,192812.55,2024-12-24,2024-12-23,Басов,1.0,0.0,2024-12
2024-12-24,УК АГ,ОСС,12692.5,2024-12-27,2024-12-25,Мишин,3.0,1.0,2024-12
2024-12-25,Бизнес-центр,ОЭЗиС,130000.0,2024-12-26,2025-01-10,Басов,1.0,16.0,2024-12
2024-12-25,Сезам,ОЭЗиС,5700.0,2024-12-26,2024-12-25,Кузьмин,1.0,0.0,2024-12
2024-12-26,АМС,ОЭЗиС,46300.0,2024-12-27,2024-12-27,Кузьмин,1.0,1.0,2024-12
2024-12-28,АМС,ОЭЗиС,29100.0,2025-01-10,2025-12-28,Кузьмин,13.0,365.0,2024-12
2025-01-09,Стоматология 20,ВИК,3900.0,2025-01-09,2025-01-31,Яблоков,0.0,22.0,2025-01
2025-01-09,Бизнес-центр,ОЭЗиС,11000.0,2025-01-14,2025-01-09,Басов,5.0,0.0,2025-01
2025-01-10,Бизнес-центр,ОЭЗиС,133310.08,2025-01-14,2025-01-10,Басов,4.0,0.0,2025-01
2025-01-10,Бизнес-центр,ОЭЗиС,25178.4,2025-01-14,2025-01-10,Басов,4.0,0.0,2025-01
2025-01-13,Сервер,ОЭЗиС,12160.0,2025-01-14,2025-01-13,Басов,1.0,0.0,2025-01
2025-01-13,Бизнес-центр,ОЭЗиС,1580810.76,2025-01-14,2025-03-14,Басов,1.0,60.0,2025-01
2025-01-15,АМС,ОЭЗиС,47504.09,2025-01-23,2025-01-31,Яблоков,8.0,16.0,2025-01
2025-01-15,Стоматология 20,ВИК,12800.0,2025-01-17,2025-01-31,Яблоков,2.0,16.0,2025-01
2025-01-17,Апарт-отель,ВИК,10000.0,2025-01-21,2025-01-31,Яблоков,4.0,14.0,2025-01
2025-01-17,Сервер,ВИК,29400.0,2025-01-21,2025-01-24,Яблоков,4.0,7.0,2025-01
2025-01-17,Сервер,ВИК,23620.0,2025-01-21,2025-03-12,Яблоков,4.0,54.0,2025-01
2025-01-20,Тех,ВИК,12000.0,2025-01-27,2025-01-31,Яблоков,7.0,11.0,2025-01
2025-01-20,Сервер,ОСС,10500.0,2025-01-21,2025-02-07,Мишин,1.0,18.0,2025-01
2025-01-22,АМС,ОЭЗиС,125624.83,2025-02-03,2025-03-06,Кузьмин,12.0,43.0,2025-01
2025-01-22,АМС ОП АМВО,ОСС,12392.5,2025-01-22,2025-01-31,Мишин,0.0,9.0,2025-01
2025-01-24,АМС,ОЭЗиС,540000.0,2025-02-10,2025-03-31,Кузьмин,17.0,66.0,2025-01
2025-01-24,АСН ОП АСЯ,ОСС,11392.5,2025-01-27,2025-02-07,Мишин,3.0,14.0,2025-01
2025-01-28,АМС,ОСС,8392.5,2025-02-26,2025-02-06,Мишин,29.0,9.0,2025-01
2025-01-30,Сервер,ОЭЗиС,30687.0,2025-01-30,2025-03-13,Басов,0.0,42.0,2025-01
2025-01-30,Сервер,ОЭЗиС,78625.4,2025-01-30,2025-03-13,Басов,0.0,42.0,2025-01
2025-01-31,АМС ОП АМВО,ОЭЗиС,68700.0,2025-01-31,2025-02-10,Кузьмин,0.0,10.0,2025-01
